"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PF","Dwight Powell",4300,"Dal@Chi 08:00PM ET",6.282,"Dal"
"SG","Nik Stauskas",4300,"Phi@Bos 07:30PM ET",8.322,"Phi"
"PF","Bobby Portis",4300,"Dal@Chi 08:00PM ET",0,"Chi"
"SF","Justise Winslow",4300,"Mia@NO 08:00PM ET",0,"Mia"
"PF","Kevin Garnett",4200,"Mil@Min 08:00PM ET",19.484,"Min"
"SF","Mike Dunleavy",4200,"Dal@Chi 08:00PM ET",19.907,"Chi"
"PG","Beno Udrih",4200,"Mem@Orl 07:00PM ET",14.975,"Mem"
"PG","Greivis Vasquez",4200,"Mil@Min 08:00PM ET",19.515,"Mil"
"C","Tyler Zeller",4200,"Phi@Bos 07:30PM ET",20.392,"Bos"
"SG","Terrence Ross",4200,"Was@Tor 07:30PM ET",17.093,"Tor"
"PF","Nemanja Bjelica",4200,"Mil@Min 08:00PM ET",0,"Min"
"SG","Tim Hardaway Jr.",4200,"Atl@Det 07:30PM ET",18.243,"Atl"
"SG","Mario Hezonja",4200,"Mem@Orl 07:00PM ET",0,"Orl"
"PF","Luis Scola",4100,"Was@Tor 07:30PM ET",20.704,"Tor"
"C","Nikola Pekovic",4100,"Mil@Min 08:00PM ET",25.048,"Min"
"PF","Jonas Jerebko",4100,"Phi@Bos 07:30PM ET",13.620,"Bos"
"PG","Cory Joseph",4100,"Was@Tor 07:30PM ET",14.111,"Tor"
"SG","Vince Carter",4000,"Mem@Orl 07:00PM ET",12.442,"Mem"
"PG","Andre Miller",4000,"Mil@Min 08:00PM ET",12.361,"Min"
"PG","Jason Terry",4000,"Hou@SA 08:30PM ET",15.136,"Hou"
"SF","Gerald Wallace",4000,"Phi@Bos 07:30PM ET",4.652,"Phi"
"C","Samuel Dalembert",4000,"Dal@Chi 08:00PM ET",14.797,"Dal"
"PF","Matt Bonner",4000,"Hou@SA 08:30PM ET",7.054,"SA"
"PG","Kirk Hinrich",4000,"Dal@Chi 08:00PM ET",12.132,"Chi"
"PG","Steve Blake",4000,"Atl@Det 07:30PM ET",12.250,"Det"
"C","Earl Barron",4000,"Atl@Det 07:30PM ET",5.313,"Atl"
"PF","Josh Powell",4000,"Mil@Min 08:00PM ET",0,"Mil"
"PG","John Lucas III",4000,"Mia@NO 08:00PM ET",10.500,"Mia"
"PF","Channing Frye",4000,"Mem@Orl 07:00PM ET",16.803,"Orl"
"SF","Danny Granger",4000,"Atl@Det 07:30PM ET",11.435,"Det"
"SG","Alan Anderson",4000,"Was@Tor 07:30PM ET",14.584,"Was"
"C","Chris Andersen",4000,"Mia@NO 08:00PM ET",15.263,"Mia"
"PF","Drew Gooden",4000,"Was@Tor 07:30PM ET",14.123,"Was"
"PF","Amar'e Stoudemire",4000,"Mia@NO 08:00PM ET",20.746,"Mia"
"SF","Tayshaun Prince",4000,"Mil@Min 08:00PM ET",15.931,"Min"
"SG","Rasual Butler",4000,"Hou@SA 08:30PM ET",13.597,"SA"
"PG","Nate Robinson",4000,"Mia@NO 08:00PM ET",11.726,"NO"
"SG","Gary Neal",4000,"Was@Tor 07:30PM ET",16.569,"Was"
"PG","J.J. Barea",4000,"Dal@Chi 08:00PM ET",16.476,"Dal"
"PG","Raymond Felton",4000,"Dal@Chi 08:00PM ET",7.930,"Dal"
"PF","Chris Copeland",4000,"Mil@Min 08:00PM ET",11.325,"Mil"
"C","Ryan Hollins",4000,"Mem@Orl 07:00PM ET",7.206,"Mem"
"PF","Boris Diaw",4000,"Hou@SA 08:30PM ET",20.020,"SA"
"C","Kendrick Perkins",4000,"Mia@NO 08:00PM ET",10.740,"NO"
"PF","Udonis Haslem",4000,"Mia@NO 08:00PM ET",11.379,"Mia"
"SG","Yakhouba Diawara",4000,"Mem@Orl 07:00PM ET",0,"Mem"
"SF","Cartier Martin",4000,"Atl@Det 07:30PM ET",3.739,"Det"
"PF","Charlie Villanueva",4000,"Dal@Chi 08:00PM ET",11.275,"Dal"
"PG","Tre Kelley",4000,"Mia@NO 08:00PM ET",0,"Mia"
"PF","Anthony Tolliver",4000,"Atl@Det 07:30PM ET",12.822,"Det"
"SF","Jared Dudley",4000,"Was@Tor 07:30PM ET",16.093,"Was"
"C","Greg Stiemsma",4000,"Mem@Orl 07:00PM ET",2.375,"Orl"
"PF","Carl Landry",4000,"Phi@Bos 07:30PM ET",13.121,"Phi"
"PF","Jason Smith",4000,"Mem@Orl 07:00PM ET",16.866,"Orl"
"SG","Garrett Temple",4000,"Was@Tor 07:30PM ET",9.228,"Was"
"PF","Joel Anthony",4000,"Atl@Det 07:30PM ET",6.807,"Det"
"PG","Ramon Sessions",4000,"Was@Tor 07:30PM ET",13.905,"Was"
"PG","Bo McCalebb",4000,"Mia@NO 08:00PM ET",0,"NO"
"SG","Reggie Williams",4000,"Hou@SA 08:30PM ET",3.788,"SA"
"SF","Martell Webster",4000,"Was@Tor 07:30PM ET",6.091,"Was"
"SF","Jeff Adrien",4000,"Mia@NO 08:00PM ET",11.779,"NO"
"SF","Dante Cunningham",4000,"Mia@NO 08:00PM ET",13.514,"NO"
"SG","Chris Douglas-Roberts",4000,"Mia@NO 08:00PM ET",3.542,"NO"
"PF","Josh McRoberts",4000,"Mia@NO 08:00PM ET",11.809,"Mia"
"C","Aron Baynes",4000,"Atl@Det 07:30PM ET",13.297,"Det"
"SF","Alonzo Gee",4000,"Mia@NO 08:00PM ET",8.595,"NO"
"SF","Marcus Landry",4000,"Mil@Min 08:00PM ET",0,"Mil"
"SF","Thabo Sefolosha",4000,"Atl@Det 07:30PM ET",15.620,"Atl"
"SF","Alex Stepheson",4000,"Mem@Orl 07:00PM ET",0,"Mem"
"SF","Quincy Pondexter",4000,"Mia@NO 08:00PM ET",14.123,"NO"
"SG","Jodie Meeks",4000,"Atl@Det 07:30PM ET",17.500,"Det"
"PG","Ish Smith",4000,"Was@Tor 07:30PM ET",14.309,"Was"
"C","JaVale McGee",4000,"Dal@Chi 08:00PM ET",9.641,"Dal"
"C","Kleon Penn",4000,"Mil@Min 08:00PM ET",0,"Min"
"C","Keith Benson",4000,"Mia@NO 08:00PM ET",0,"Mia"
"SF","Jeremy Evans",4000,"Dal@Chi 08:00PM ET",6.388,"Dal"
"SG","Justin Holiday",4000,"Atl@Det 07:30PM ET",8.273,"Atl"
"SG","Marcus Simmons",4000,"Dal@Chi 08:00PM ET",0,"Chi"
"PG","Jerryd Bayless",4000,"Mil@Min 08:00PM ET",16.831,"Mil"
"SF","James Johnson",4000,"Was@Tor 07:30PM ET",17.260,"Tor"
"SG","E'Twaun Moore",4000,"Dal@Chi 08:00PM ET",5.436,"Chi"
"SG","Marcus Thornton",4000,"Hou@SA 08:30PM ET",12.979,"Hou"
"PG","Jimmer Fredette",4000,"Hou@SA 08:30PM ET",6.740,"SA"
"SG","Jordan Crawford",4000,"Dal@Chi 08:00PM ET",0,"Chi"
"C","DeJuan Blair",4000,"Was@Tor 07:30PM ET",4.828,"Was"
"SG","Kent Bazemore",4000,"Atl@Det 07:30PM ET",12.662,"Atl"
"PG","Norris Cole",4000,"Mia@NO 08:00PM ET",16.835,"NO"
"PG","Patty Mills",4000,"Hou@SA 08:30PM ET",13.190,"SA"
"C","Alexis Ajinca",4000,"Mia@NO 08:00PM ET",14.606,"NO"
"PG","Jorge Gutiérrez",4000,"Mil@Min 08:00PM ET",6.095,"Mil"
"PF","JaMychal Green",4000,"Mem@Orl 07:00PM ET",5.069,"Mem"
"SF","Luke Babbitt",4000,"Mia@NO 08:00PM ET",7.988,"NO"
"PF","Andrew Nicholson",4000,"Mem@Orl 07:00PM ET",9.000,"Orl"
"C","Miles Plumlee",4000,"Mil@Min 08:00PM ET",12.818,"Mil"
"PF","Josh Harrellson",4000,"Was@Tor 07:30PM ET",0,"Was"
"SG","Toure' Murry",4000,"Was@Tor 07:30PM ET",1.750,"Was"
"PG","Shelvin Mack",4000,"Atl@Det 07:30PM ET",11.954,"Atl"
"PG","Lorenzo Brown",4000,"Mil@Min 08:00PM ET",13.810,"Min"
"SG","Lamar Patterson",4000,"Atl@Det 07:30PM ET",0,"Atl"
"PF","Jarrid Famous",4000,"Dal@Chi 08:00PM ET",0,"Dal"
"PF","Arsalan Kazemi",4000,"Hou@SA 08:30PM ET",0,"Hou"
"PF","Jamil Wilson",4000,"Dal@Chi 08:00PM ET",0,"Dal"
"PF","Sampson Carter",4000,"Mem@Orl 07:00PM ET",0,"Mem"
"SG","Sean Kilpatrick",4000,"Mia@NO 08:00PM ET",10.625,"NO"
"C","Mike Muscala",4000,"Atl@Det 07:30PM ET",10.435,"Atl"
"PF","Melvin Ejim",4000,"Mem@Orl 07:00PM ET",0,"Orl"
"SG","Bryce Dejean-Jones",4000,"Mia@NO 08:00PM ET",0,"NO"
"C","Jordan Bachynski",4000,"Atl@Det 07:30PM ET",0,"Det"
"PG","Corey Hawkins",4000,"Mia@NO 08:00PM ET",0,"Mia"
"SG","Tony Snell",4000,"Dal@Chi 08:00PM ET",11.196,"Chi"
"PF","Cameron Bairstow",4000,"Dal@Chi 08:00PM ET",1.444,"Chi"
"PF","Ronald Roberts",4000,"Was@Tor 07:30PM ET",0,"Tor"
"SF","Perry Jones",4000,"Phi@Bos 07:30PM ET",8.163,"Bos"
"PG","T.J. McConnell",4000,"Phi@Bos 07:30PM ET",0,"Phi"
"PG","Lazeric Jones",4000,"Mem@Orl 07:00PM ET",0,"Mem"
"C","Joshua Smith",4000,"Hou@SA 08:30PM ET",0,"Hou"
"PG","Scottie Wilbekin",4000,"Phi@Bos 07:30PM ET",0,"Phi"
"PG","Kendall Marshall",4000,"Phi@Bos 07:30PM ET",11.268,"Phi"
"SF","Reggie Bullock",4000,"Atl@Det 07:30PM ET",4.861,"Det"
"SG","Jordan Sibert",4000,"Mem@Orl 07:00PM ET",0,"Orl"
"SF","Deshaun Thomas",4000,"Hou@SA 08:30PM ET",0,"SA"
"SG","Jordan McRae",4000,"Phi@Bos 07:30PM ET",0,"Phi"
"PG","Shabazz Napier",4000,"Mem@Orl 07:00PM ET",13.064,"Orl"
"PG","Russ Smith",4000,"Mem@Orl 07:00PM ET",3.821,"Mem"
"C","Boban Marjanovic",4000,"Hou@SA 08:30PM ET",0,"SA"
"SF","Jonathon Simmons",4000,"Hou@SA 08:30PM ET",0,"SA"
"SF","Devyn Marble",4000,"Mem@Orl 07:00PM ET",7.547,"Orl"
"PF","Adreian Payne",4000,"Mil@Min 08:00PM ET",15.609,"Min"
"PG","Keith Appling",4000,"Mem@Orl 07:00PM ET",0,"Orl"
"SF","Doug McDermott",4000,"Dal@Chi 08:00PM ET",4.840,"Chi"
"C","Salah Mejri",4000,"Dal@Chi 08:00PM ET",0,"Dal"
"SF","Eric Griffin",4000,"Atl@Det 07:30PM ET",0,"Det"
"PG","Ray McCallum",4000,"Hou@SA 08:30PM ET",16.125,"SA"
"PG","Corey Walden",4000,"Phi@Bos 07:30PM ET",0,"Bos"
"SG","Tyler Johnson",4000,"Mia@NO 08:00PM ET",13.555,"Mia"
"C","Bismack Biyombo",4000,"Was@Tor 07:30PM ET",16.465,"Tor"
"C","Jeremy Tyler",4000,"Hou@SA 08:30PM ET",0,"Hou"
"SG","Darrun Hilliard",4000,"Atl@Det 07:30PM ET",0,"Det"
"C","Jaleel Roberts",4000,"Was@Tor 07:30PM ET",0,"Was"
"SG","James Ennis",4000,"Mia@NO 08:00PM ET",11.056,"Mia"
"PG","Spencer Dinwiddie",4000,"Atl@Det 07:30PM ET",11.824,"Det"
"PF","Johnny O'Bryant",4000,"Mil@Min 08:00PM ET",6.307,"Mil"
"PF","Malcolm Miller",4000,"Phi@Bos 07:30PM ET",0,"Bos"
"SG","Josh Richardson",4000,"Mia@NO 08:00PM ET",0,"Mia"
"PG","Pierre Jackson",4000,"Phi@Bos 07:30PM ET",0,"Phi"
"SF","K.J. McDaniels",4000,"Hou@SA 08:30PM ET",16.831,"Hou"
"C","Nnanna Egwu",4000,"Mem@Orl 07:00PM ET",0,"Orl"
"SG","Shannon Scott",4000,"Was@Tor 07:30PM ET",0,"Tor"
"C","Youssou Ndoye",4000,"Hou@SA 08:30PM ET",0,"SA"
"C","Dewayne Dedmon",4000,"Mem@Orl 07:00PM ET",11.996,"Orl"
"PF","Greg Whittington",4000,"Mia@NO 08:00PM ET",0,"Mia"
"PF","Michale Kyser",4000,"Was@Tor 07:30PM ET",0,"Tor"
"PF","Adonis Thomas",4000,"Atl@Det 07:30PM ET",0,"Det"
"SF","Jakarr Sampson",4000,"Phi@Bos 07:30PM ET",10.956,"Phi"
"SG","Norman Powell",4000,"Was@Tor 07:30PM ET",0,"Tor"
"PG","Keifer Sykes",4000,"Hou@SA 08:30PM ET",0,"SA"
"SG","Levi Randolph",4000,"Phi@Bos 07:30PM ET",0,"Bos"
"SF","Terran Petteway",4000,"Atl@Det 07:30PM ET",0,"Atl"
"PG","Will Cummings",4000,"Hou@SA 08:30PM ET",0,"Hou"
"PF","Jarnell Stokes",4000,"Mem@Orl 07:00PM ET",6.421,"Mem"
"C","Lucas Nogueira",4000,"Was@Tor 07:30PM ET",4.042,"Tor"
"PF","Furkan Aldemir",4000,"Phi@Bos 07:30PM ET",10.098,"Phi"
"SF","Sam Dekker",4000,"Hou@SA 08:30PM ET",0,"Hou"
"SG","R.J. Hunter",4000,"Phi@Bos 07:30PM ET",0,"Bos"
"PF","Richaun Holmes",4000,"Phi@Bos 07:30PM ET",0,"Phi"
"PF","Brandon Ashley",4000,"Dal@Chi 08:00PM ET",0,"Dal"
"SF","Coty Clarke",4000,"Phi@Bos 07:30PM ET",0,"Bos"
"SF","J.P. Tokoto",4000,"Phi@Bos 07:30PM ET",0,"Phi"
"SG","Jordan Adams",4000,"Mem@Orl 07:00PM ET",6.110,"Mem"
"SF","Kyle Anderson",4000,"Hou@SA 08:30PM ET",7.470,"SA"
"SF","Justin Anderson",4000,"Dal@Chi 08:00PM ET",0,"Dal"
"PF","Montrezl Harrell",4000,"Hou@SA 08:30PM ET",0,"Hou"
